Semana;Plan Venta MT 2024;Plan Venta TT 2024;Plan Margen 2024;Plan Contribución MT 2024;Plan de Contribución TT 2024;Ventas 2023 MT;Margen 2023 MT;Contribucion 2023 MT;Crecimiento Pesos MT;Crecimiento Pesos TT;% Crecimiento MT;% Crecimiento TT;Venta Real TT 2024;Margen TT 2024;Contribución Real TT 2024;Diferencia Venta TT 2024 vs Plan ;Var vs TT %;Venta Real MT 2024;Margen MT 2024;Contribución Real MT 2024;Diferencia Venta MT 2024 vs Plan ;Var vs MT %;Tiendas MT;Tiendas TT;Venta $ Prom MT ;Venta $ Prom TT;Var Tiendas 
202420;9704859,483;11440400,05;0,48953779;4750895,46;5600508,152;9152780,66;0,504665811;4619095,477;552078,823;2287619,387;0,060318153;0,249937093;9009401,719;0,505423859;4553566,585;-2430998,328;-0,212492423;8150512,369;0,504665811;4113284,937;-1554347,114;-0,160161733;566;634;17146,39485;18044,79503;68
202421;8466397,27;9980461,016;0,489;4140068,265;4880445,437;8074273,047;0,495559317;4001281,235;392124,2227;1906187,968;0,048564647;0,236081683;7947784,851;0,496444763;3945636,164;-2032676,164;-0,203665558;7218319,131;0,495559317;3577105,297;-1248078,139;-0,147415494;566;634;14958,29906;15742,05208;68
202422;9156931,292;10794484,7;0,483225686;4424864,405;5216172,274;8832075,432;0,494976792;4371672,36;324855,8602;1962409,266;0,036781373;0,22219118;8526480,44;0,495737625;4226897,164;-2268004,259;-0,210107691;7648262,64;0,494976792;3785712,503;-1508668,652;-0,164757013;565;635;16206,95804;16999,1885;70
202423;8730282,786;10291537,74;0,478973615;4181575,11;4929375,039;8392626,814;0,494617246;4151137,963;337655,9726;1898910,923;0,040232454;0,226259426;8605132,65;0,49578717;4266314,361;-1686405,087;-0,163863276;7724285,72;0,494617246;3820564,931;-1005997,066;-0,115230754;565;635;15451,82794;16207,14604;70
202424;8386902,502;9886750,03;0,4788;4015648,918;4733775,914;8074860,135;0,491203959;3966403,267;312042,3673;1811889,895;0,038643687;0,224386536;8509217,134;0,492314674;4189212,456;-1377532,896;-0,139331215;7646451,224;0,491203959;3755967,114;-740451,2787;-0,088286621;565;636;14844,07523;15545,20445;71
202425;8317966,175;9805485,674;0,478;3975987,832;4687022,152;8045750,495;0,479548056;3858324,006;272215,6801;1759735,179;0,033833473;0,218716101;8746720,986;0,481336487;4210115,952;-1058764,688;-0,107976772;7849406,726;0,479548056;3764167,733;-468559,4491;-0,056331012;566;639;14696,05331;15345,048;73
202426;9310743,307;10975803,24;0,475;4422603,071;5213506,54;9026728,894;0,472406872;4264288,764;284014,4133;1949074,348;0,031463714;0,215922553;10305303,34;0,474518588;4890057,994;-670499,8987;-0,061088914;9234194,473;0,472406872;4362296,929;-76548,83429;-0,00822156;564;638;16508,41012;17203,45336;74
202427;9939785,456;11717338,33;0,463;4602120,666;5425127,647;9680087,426;0,468791244;4537940,225;259698,03;2037250,904;0,026828067;0,210457903;11447032,02;0,470920064;5390637,049;-270306,3057;-0,023068917;10248070,49;0,468791244;4804205,713;308285,0379;0,031015261;564;639;17623,73308;18336,99269;75
202428;10460339,11;12330983,7;0,465;4864057,687;5733907,42;10148967,35;0,46282055;4697150,651;311371,761;2182016,347;0,030680142;0,214998854;12171705,82;0,464716294;5656390,012;-159277,8828;-0,012916884;10932493,58;0,46282055;5059782,689;472154,463;0,045137587;565;641;18513,87453;19237,10405;76
202429;10688009,79;12599369,21;0,463;4948548,534;5833507,943;10324227,59;0,45221502;4668770,784;363782,2041;2275141,619;0,035235779;0,220369185;12979539,1;0,45455569;5899923,35;380169,8911;0,030173724;11536425,13;0,45221502;5216944,719;848415,3364;0,079380105;565;645;18916,83149;19533,90575;80
202430;11169343,47;13166780,81;0,4635;5176990,7;6102802,905;10822568,81;0,449488894;4864624,489;346774,6609;2344211,997;0,032041807;0,216604028;12112526,37;0,452665309;5482920,491;-1054254,444;-0,080069264;10632812,62;0,449488894;4779331,186;-536530,8578;-0,048036025;565;647;19768,74951;20350,5113;82
202431;12907376,37;15215629,81;0,4633;5979987,472;7049401,29;12468753,94;0,446734852;5570226,951;438622,4295;2746875,868;0,035177728;0,220300752;13663969,56;0,449715325;6144896,518;-1551660,244;-0,101978049;11886920,46;0,446734852;5310301,659;-1020455,906;-0,079059902;565;649;22844,91393;23444,73006;84
202432;13294446,27;15671920,24;0,461;6128739,73;7224755,229;12876677,71;0,442686067;5700325,81;417768,5541;2795242,522;0,032443815;0,217077928;14291292,53;0,445606234;6368289,041;-1380627,71;-0,088095632;12504270,11;0,442686067;5535466,151;-790176,1625;-0,059436561;564;652;23571,71324;24036,68748;88
202433;16139702,07;19025999,15;0,453;7311285,036;8618777,616;15591684,4;0,437452886;6820627,335;548017,6699;3434314,755;0,035148074;0,220265795;16366209,74;0,440260378;7205393,693;-2659789,411;-0,139797621;14348103,99;0,437452886;6276619,498;-1791598,076;-0,111005647;565;655;28565,84437;29047,32695;90
202434;21056917,88;24822571,08;0,454;9559840,717;11269447,27;20183451,64;0,431605814;8711295,082;873466,242;4639119,439;0,043276356;0,229847675;21627049,24;0,434313372;9392916,681;-3195521,839;-0,128734523;18759537,24;0,431605814;8096725,347;-2297380,642;-0,109103367;565;657;37268,8812;37781,69114;92
202435;12299082,94;14498553,98;0,452;5559185,49;6553346,399;11758530,66;0,433403101;5096183,655;540552,2848;2740023,322;0,045971074;0,233024295;13853916,63;0,435189148;6029074,178;-644637,3526;-0,044462182;12107652,59;0,433403101;5247494,182;-191430,3555;-0,015564604;564;659;21806,88465;22000,84064;95
202436;6770592,249;7981391,593;0,453;3067078,289;3615570,392;6503280,089;0,454010006;2952554,231;267312,1601;1478111,504;0,041104205;0,227287074;7881829,327;0,455902755;3593347,702;-99562,26526;-0,012474299;6817615,967;0,454010006;3095265,866;47023,71854;0,006945289;564;660;12004,59619;12093,01756;96
202437;4879829,113;5752499,283;0,463;2259360,879;2663407,168;4692144,34;0,471417015;2211956,679;187684,7733;1060354,943;0,039999787;0,22598515;5286899,486;0,472742207;2499340,53;-465599,7977;-0,080938697;4535690,356;0,471417015;2138201,609;-344138,7578;-0,070522707;565;662;8636,865687;8689,575957;97
202438;4595367,443;5417166,73;0,462;2123059,759;2502731,029;4417432,24;0,474040057;2094039,829;177935,2031;999734,4903;0,040280234;0,22631575;5210416,631;0,475582995;2477985,549;-206750,099;-0,038165726;4443995,231;0,474040057;2106631,751;-151372,2118;-0,032940176;563;666;8162,286755;8133,883979;103
202439;4350920,427;5129004,737;0,46;2001423,396;2359342,179;4193867,5;0,478683836;2007536,582;157052,9267;935137,2365;0,037448233;0,222977296;4580404,102;0,480054755;2198844,77;-548600,6349;-0,106960446;3931519,332;0,478683836;1881954,754;-419401,0951;-0,096393649;563;668;7728,100225;7678,150803;105
