CD;Año;Semana;Tienda;Apertura;CD;Cierre;Estado;Estatus;MismasTiendas;Region;Zona;Ventas Actuales;Ventas Año Anterior;Variacion Venta;% Margen;% Margen Año Anterior;Costo de Ventas;Piezas de Venta;Piezas Venta Año Anterior;Utilidad Tienda;Inventario pesos;Inventario Año Anterior pesos;Inventario pzas;Inventario Año Anterior pzas;Inventario CD pesos;Inventario CD Año Anterior pesos;Inventario CD pzas;Inventario CD Año Anterior pzas;Inventario Tienda IT pesos;Inventario Tienda IT Año Anterior pesos;Inventario Tienda IT pzas;Inventario Tienda IT Año Anterior pzas;Inventario On Hand pesos;Inventario OH Año Anterior pesos;Inventario On Hand Pzas;Inventario OH Año Anterior pzas
7021;2024;Sem-20;4001 - Plaza Nuevo Mexicali (BCN);19991126;7021;20400101;BCN;Activo;Mismas Tiendas;R54 Mexicali/San Luis;D01 BC NORTE;$19.606;$19.664;($58);51,81%;49,04%;$8.075;604;550;$ 10.158,66;$308.554;$359.914;21.853;26.590;;;;;$7.591;$0;526;;$300.963;$359.914;21.327;26.590
7021;2024;Sem-20;4003 - Tijuana Centro (BCN);20000512;7021;20400101;BCN;Activo;Mismas Tiendas;R02 Tijuana Centro;D01 BC NORTE;$22.982;$18.474;$4.509;50,04%;47,60%;$9.873;829;575;$ 11.500,43;$335.462;$279.782;24.189;20.487;;;;;$16.885;$255;1.171;46;$318.577;$279.527;23.018;20.441
7021;2024;Sem-20;4006 - Gastellum Ensenada (BCN);20001110;7021;20400101;BCN;Activo;Mismas Tiendas;R03 Tijuana Costa;D01 BC NORTE;$15.668;$16.118;($450);50,59%;47,85%;$6.644;469;493;$ 7.927,32;$377.147;$368.730;27.005;25.352;;;;;$0;$8.258;;734;$377.147;$360.472;27.005;24.618
7021;2024;Sem-20;4007 - La Paloma (SON);20001208;7021;20400101;SON;Activo;Mismas Tiendas;R54 Mexicali/San Luis;D01 BC NORTE;$27.258;$28.724;($1.466);52,03%;51,68%;$11.168;899;904;$ 14.182,33;$296.937;$323.500;21.194;22.515;;;;;$0;$0;;;$296.937;$323.500;21.194;22.515
7021;2024;Sem-20;4008 - Tecate Centro (BCN);20010323;7021;20400101;BCN;Activo;Mismas Tiendas;R01 Tijuana Este;D01 BC NORTE;$14.697;$23.544;($8.847);49,28%;48,41%;$6.426;472;638;$ 7.242,21;$343.025;$293.792;24.905;22.529;;;;;$17.593;$1.650;1.185;128;$325.432;$292.143;23.720;22.401
7021;2024;Sem-20;4010 - Madero (BCS);20010629;7021;20400101;BCS;Activo;Mismas Tiendas;R05 La Paz;D02 BC SUR / PACIFICO;$7.556;$21.688;($14.132);47,54%;43,85%;$3.435;246;851;$ 3.592,48;$344.972;$317.738;24.924;23.251;;;;;$0;$11.718;;860;$344.972;$306.020;24.924;22.391
7021;2024;Sem-20;4011 - Pinos (BCN);20010713;7021;20400101;BCN;Activo;Mismas Tiendas;R69 Tijuana Oriente;D01 BC NORTE;$25.400;$31.131;($5.730);51,21%;51,64%;$10.615;888;1.042;$ 13.006,79;$306.207;$285.379;22.347;20.165;;;;;$10.016;$11.269;689;658;$296.191;$274.111;21.658;19.507
7021;2024;Sem-20;4013 - Constitucion Tijuana (BCN);20011116;7021;20400101;BCN;Activo;Mismas Tiendas;R02 Tijuana Centro;D01 BC NORTE;$25.753;$27.890;($2.137);50,42%;50,15%;$10.966;850;876;$ 12.984,00;$242.170;$304.546;17.035;20.026;;;;;$108;$0;12;;$242.062;$304.546;17.023;20.026
7021;2024;Sem-20;4016 - Pacifico (BCN);20020222;7021;20400101;BCN;Activo;Mismas Tiendas;R69 Tijuana Oriente;D01 BC NORTE;$17.406;$19.206;($1.799);51,66%;49,72%;$7.196;561;504;$ 8.992,21;$296.043;$287.108;21.438;21.002;;;;;$0;$0;;;$296.043;$287.108;21.438;21.002
7021;2024;Sem-20;4018 - Cachanilla (BCN);20020807;7021;20400101;BCN;Activo;Mismas Tiendas;R04 Mexicali Centro;D01 BC NORTE;$14.116;$20.118;($6.002);50,07%;50,33%;$6.060;490;610;$ 7.068,52;$343.687;$317.723;24.171;22.254;;;;;$0;$5.629;;472;$343.687;$312.094;24.171;21.782
